"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2022/01/01","00:00","-0.406","-","0.41"
"2022/01/01","01:00","-0.38","-","0.46"
"2022/01/01","02:00","-0.338","-","0.5"
"2022/01/01","03:00","-0.285","-","0.58"
"2022/01/01","04:00","-0.226","-","0.63"
"2022/01/01","05:00","-0.165","-","0.69"
"2022/01/01","06:00","-0.103","-","0.78"
"2022/01/01","07:00","-0.04","-","0.85"
"2022/01/01","08:00","0.019","-","0.92"
"2022/01/01","09:00","0.066","-","0.96"
"2022/01/01","10:00","0.094","-","0.98"
"2022/01/01","11:00","0.099","-","1"
"2022/01/01","12:00","0.082","-","1"
"2022/01/01","13:00","0.048","-","1.01"
"2022/01/01","14:00","0","-","0.92"
"2022/01/01","15:00","-0.06","-","0.88"
"2022/01/01","16:00","-0.127","-","0.76"
"2022/01/01","17:00","-0.195","-","0.72"
"2022/01/01","18:00","-0.26","-","0.67"
"2022/01/01","19:00","-0.315","-","0.61"
"2022/01/01","20:00","-0.36","-","0.53"
"2022/01/01","21:00","-0.398","-","0.53"
"2022/01/01","22:00","-0.429","-","0.46"
"2022/01/01","23:00","-0.45","-","0.45"
"2022/01/02","00:00","-0.457","-","0.41"
"2022/01/02","01:00","-0.444","-","0.49"
"2022/01/02","02:00","-0.412","-","0.48"
"2022/01/02","03:00","-0.364","-","0.57"
"2022/01/02","04:00","-0.307","-","0.66"
"2022/01/02","05:00","-0.245","-","0.68"
"2022/01/02","06:00","-0.177","-","0.8"
"2022/01/02","07:00","-0.106","-","0.86"
"2022/01/02","08:00","-0.036","-","0.92"
"2022/01/02","09:00","0.025","-","0.99"
"2022/01/02","10:00","0.071","-","1.05"
"2022/01/02","11:00","0.096","-","1.11"
"2022/01/02","12:00","0.101","-","1.14"
"2022/01/02","13:00","0.087","-","1.12"
"2022/01/02","14:00","0.056","-","1.12"
"2022/01/02","15:00","0.01","-","1.11"
"2022/01/02","16:00","-0.049","-","1.03"
"2022/01/02","17:00","-0.117","-","1.41"
"2022/01/02","18:00","-0.186","-","1.14"
"2022/01/02","19:00","-0.25","-","1.19"
"2022/01/02","20:00","-0.308","-","1.09"
"2022/01/02","21:00","-0.361","-","0.95"
"2022/01/02","22:00","-0.41","-","0.9"
"2022/01/02","23:00","-0.451","-","1.03"
"2022/01/03","00:00","-0.478","-","1.11"
"2022/01/03","01:00","-0.484","-","0.92"
"2022/01/03","02:00","-0.469","-","0.64"
"2022/01/03","03:00","-0.435","-","0.8"
"2022/01/03","04:00","-0.387","-","0.69"
"2022/01/03","05:00","-0.33","-","0.55"
"2022/01/03","06:00","-0.265","-","0.65"
"2022/01/03","07:00","-0.192","-","0.36"
"2022/01/03","08:00","-0.117","-","0.3"
"2022/01/03","09:00","-0.046","-","0.29"
"2022/01/03","10:00","0.014","-","0.14"
"2022/01/03","11:00","0.058","-","0.1"
"2022/01/03","12:00","0.084","-","0.03"
"2022/01/03","13:00","0.094","-","-0.02"
"2022/01/03","14:00","0.087","-","-0.1"
"2022/01/03","15:00","0.061","-","-0.15"
"2022/01/03","16:00","0.017","-","-0.24"
"2022/01/03","17:00","-0.041","-","-0.31"
"2022/01/03","18:00","-0.105","-","-0.33"
"2022/01/03","19:00","-0.171","-","-0.33"
"2022/01/03","20:00","-0.235","-","-0.4"
"2022/01/03","21:00","-0.299","-","-0.44"
"2022/01/03","22:00","-0.362","-","-0.48"
"2022/01/03","23:00","-0.42","-","-0.59"
"2022/01/04","00:00","-0.466","-","-0.64"
"2022/01/04","01:00","-0.492","-","-0.62"
"2022/01/04","02:00","-0.496","-","-0.62"
"2022/01/04","03:00","-0.48","-","-0.59"
"2022/01/04","04:00","-0.447","-","-0.55"
"2022/01/04","05:00","-0.402","-","-0.48"
"2022/01/04","06:00","-0.345","-","-0.42"
"2022/01/04","07:00","-0.278","-","-0.39"
"2022/01/04","08:00","-0.204","-","-0.35"
"2022/01/04","09:00","-0.131","-","-0.28"
"2022/01/04","10:00","-0.064","-","-0.23"
"2022/01/04","11:00","-0.009","-","-0.16"
"2022/01/04","12:00","0.035","-","-0.06"
"2022/01/04","13:00","0.066","-","-0.01"
"2022/01/04","14:00","0.081","-","0.04"
"2022/01/04","15:00","0.077","-","0.11"
"2022/01/04","16:00","0.054","-","0.1"
"2022/01/04","17:00","0.012","-","0.12"
"2022/01/04","18:00","-0.041","-","0.12"
"2022/01/04","19:00","-0.099","-","0.11"
"2022/01/04","20:00","-0.161","-","0.07"
"2022/01/04","21:00","-0.227","-","0.05"
"2022/01/04","22:00","-0.296","-","-0.01"
"2022/01/04","23:00","-0.365","-","-0.12"
"2022/01/05","00:00","-0.425","-","-0.21"
"2022/01/05","01:00","-0.467","-","-0.26"
"2022/01/05","02:00","-0.489","-","-0.28"
"2022/01/05","03:00","-0.49","-","-0.25"
"2022/01/05","04:00","-0.474","-","-0.23"
"2022/01/05","05:00","-0.443","-","-0.14"
"2022/01/05","06:00","-0.399","-","-0.12"
"2022/01/05","07:00","-0.343","-","0"
"2022/01/05","08:00","-0.278","-","0.06"
