"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2019/01/01","00:00","0.767","-","1.35"
"2019/01/01","01:00","0.772","-","1.31"
"2019/01/01","02:00","0.735","-","1.23"
"2019/01/01","03:00","0.652","-","1.21"
"2019/01/01","04:00","0.523","-","1.03"
"2019/01/01","05:00","0.359","-","0.9"
"2019/01/01","06:00","0.185","-","0.75"
"2019/01/01","07:00","0.027","-","0.53"
"2019/01/01","08:00","-0.107","-","0.43"
"2019/01/01","09:00","-0.221","-","0.26"
"2019/01/01","10:00","-0.306","-","0.2"
"2019/01/01","11:00","-0.341","-","0.22"
"2019/01/01","12:00","-0.312","-","0.21"
"2019/01/01","13:00","-0.232","-","0.27"
"2019/01/01","14:00","-0.12","-","0.34"
"2019/01/01","15:00","0.01","-","0.43"
"2019/01/01","16:00","0.146","-","0.52"
"2019/01/01","17:00","0.277","-","0.67"
"2019/01/01","18:00","0.402","-","0.78"
"2019/01/01","19:00","0.527","-","0.9"
"2019/01/01","20:00","0.649","-","1.02"
"2019/01/01","21:00","0.751","-","1.14"
"2019/01/01","22:00","0.82","-","1.16"
"2019/01/01","23:00","0.865","-","1.23"
"2019/01/02","00:00","0.896","-","1.18"
"2019/01/02","01:00","0.906","-","1.2"
"2019/01/02","02:00","0.874","-","1.18"
"2019/01/02","03:00","0.788","-","1.08"
"2019/01/02","04:00","0.652","-","0.9"
"2019/01/02","05:00","0.472","-","0.77"
"2019/01/02","06:00","0.263","-","0.53"
"2019/01/02","07:00","0.054","-","0.33"
"2019/01/02","08:00","-0.128","-","0.17"
"2019/01/02","09:00","-0.278","-","0.06"
"2019/01/02","10:00","-0.395","-","-0.02"
"2019/01/02","11:00","-0.469","-","-0.09"
"2019/01/02","12:00","-0.478","-","-0.09"
"2019/01/02","13:00","-0.418","-","-0.02"
"2019/01/02","14:00","-0.306","-","0.13"
"2019/01/02","15:00","-0.163","-","0.28"
"2019/01/02","16:00","-0.002","-","0.34"
"2019/01/02","17:00","0.163","-","0.51"
"2019/01/02","18:00","0.322","-","0.74"
"2019/01/02","19:00","0.472","-","0.94"
"2019/01/02","20:00","0.618","-","1.02"
"2019/01/02","21:00","0.754","-","1.19"
"2019/01/02","22:00","0.863","-","1.31"
"2019/01/02","23:00","0.935","-","1.4"
"2019/01/03","00:00","0.978","-","1.48"
"2019/01/03","01:00","0.998","-","1.57"
"2019/01/03","02:00","0.982","-","1.57"
"2019/01/03","03:00","0.913","-","1.52"
"2019/01/03","04:00","0.786","-","1.27"
"2019/01/03","05:00","0.609","-","1.12"
"2019/01/03","06:00","0.393","-","0.88"
"2019/01/03","07:00","0.157","-","0.68"
"2019/01/03","08:00","-0.069","-","0.48"
"2019/01/03","09:00","-0.259","-","0.16"
"2019/01/03","10:00","-0.405","-","0"
"2019/01/03","11:00","-0.51","-","-0.08"
"2019/01/03","12:00","-0.56","-","-0.28"
"2019/01/03","13:00","-0.54","-","-0.34"
"2019/01/03","14:00","-0.452","-","-0.32"
"2019/01/03","15:00","-0.318","-","-0.08"
"2019/01/03","16:00","-0.157","-","-0.05"
"2019/01/03","17:00","0.021","-","0.14"
"2019/01/03","18:00","0.201","-","0.27"
"2019/01/03","19:00","0.371","-","0.52"
"2019/01/03","20:00","0.53","-","0.71"
"2019/01/03","21:00","0.682","-","0.9"
"2019/01/03","22:00","0.823","-","1.12"
"2019/01/03","23:00","0.934","-","1.28"
"2019/01/04","00:00","1.004","-","1.45"
"2019/01/04","01:00","1.041","-","1.66"
"2019/01/04","02:00","1.045","-","1.77"
"2019/01/04","03:00","1.002","-","1.52"
"2019/01/04","04:00","0.899","-","1.51"
"2019/01/04","05:00","0.74","-","1.27"
"2019/01/04","06:00","0.535","-","1.27"
"2019/01/04","07:00","0.297","-","0.95"
"2019/01/04","08:00","0.048","-","0.67"
"2019/01/04","09:00","-0.179","-","0.44"
"2019/01/04","10:00","-0.358","-","0.35"
"2019/01/04","11:00","-0.487","-","0.2"
"2019/01/04","12:00","-0.567","-","0.02"
