"Date","Time (GMT)","Predicted (ft)","Preliminary (ft)","Verified (ft)"
"2020/01/01","00:00","0.196","-","0.28"
"2020/01/01","01:00","0.284","-","0.38"
"2020/01/01","02:00","0.365","-","0.45"
"2020/01/01","03:00","0.435","-","0.49"
"2020/01/01","04:00","0.49","-","0.51"
"2020/01/01","05:00","0.527","-","0.55"
"2020/01/01","06:00","0.541","-","0.5"
"2020/01/01","07:00","0.532","-","0.5"
"2020/01/01","08:00","0.496","-","0.44"
"2020/01/01","09:00","0.437","-","0.37"
"2020/01/01","10:00","0.358","-","0.25"
"2020/01/01","11:00","0.265","-","0.16"
"2020/01/01","12:00","0.167","-","0.05"
"2020/01/01","13:00","0.071","-","-0.01"
"2020/01/01","14:00","-0.013","-","-0.12"
"2020/01/01","15:00","-0.079","-","-0.14"
"2020/01/01","16:00","-0.122","-","-0.2"
"2020/01/01","17:00","-0.139","-","-0.24"
"2020/01/01","18:00","-0.131","-","-0.16"
"2020/01/01","19:00","-0.101","-","-0.08"
"2020/01/01","20:00","-0.053","-","-0.06"
"2020/01/01","21:00","0.006","-","0.06"
"2020/01/01","22:00","0.071","-","0.15"
"2020/01/01","23:00","0.137","-","0.29"
"2020/01/02","00:00","0.199","-","0.34"
"2020/01/02","01:00","0.255","-","0.46"
"2020/01/02","02:00","0.302","-","0.58"
"2020/01/02","03:00","0.34","-","0.64"
"2020/01/02","04:00","0.367","-","0.71"
"2020/01/02","05:00","0.382","-","0.77"
"2020/01/02","06:00","0.384","-","0.82"
"2020/01/02","07:00","0.373","-","0.85"
"2020/01/02","08:00","0.348","-","0.91"
"2020/01/02","09:00","0.31","-","0.89"
"2020/01/02","10:00","0.261","-","0.83"
"2020/01/02","11:00","0.205","-","0.79"
"2020/01/02","12:00","0.145","-","0.76"
"2020/01/02","13:00","0.088","-","0.72"
"2020/01/02","14:00","0.038","-","0.65"
"2020/01/02","15:00","0.001","-","0.62"
"2020/01/02","16:00","-0.02","-","0.64"
"2020/01/02","17:00","-0.022","-","0.6"
"2020/01/02","18:00","-0.006","-","0.64"
"2020/01/02","19:00","0.026","-","0.63"
"2020/01/02","20:00","0.069","-","0.66"
"2020/01/02","21:00","0.118","-","0.68"
"2020/01/02","22:00","0.168","-","0.71"
"2020/01/02","23:00","0.213","-","0.73"
"2020/01/03","00:00","0.249","-","0.78"
"2020/01/03","01:00","0.274","-","0.8"
"2020/01/03","02:00","0.286","-","0.88"
"2020/01/03","03:00","0.286","-","0.9"
